retailer_country,order_method_type,retailer_type,product_line,product_type,product,year,quarter,revenue,quantity,gross_margin
Mexico,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Digital,2012,Q2 2012,3710.98,91,0.50956351
France,Web,Sports Store,Personal Accessories,Navigation,Auto Pilot,2014,Q2 2014,15510.0,66,0.34903675
Australia,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cup,2014,Q2 2014,11102.45,3111,0.75621867
China,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2014,Q3 2014,185169.92,214,0.51345229
France,Web,Department Store,Golf Equipment,Irons,Hailstorm Steel Irons,2014,Q2 2014,105983.9,242,0.49537618
Mexico,Sales visit,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2012,Q3 2012,66931.2,1743,0.49166667
Switzerland,Sales visit,Sports Store,Golf Equipment,Putters,Course Pro Putter,2013,Q3 2013,28623.84,392,0.61106546
Switzerland,Web,Sports Store,Personal Accessories,Binoculars,Ranger Vision,2012,Q2 2012,19520.0,122,0.36
United Kingdom,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Wave,2012,Q4 2012,3679.52,39,0.56416054
Poland,Telephone,Sports Store,Camping Equipment,Packs,Canyon Mule Cooler,2012,Q3 2012,26943.66,827,0.50890117
Switzerland,Web,Sports Store,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2014,Q1 2014,1470.0,42,0.59885714
United States,Web,Outdoors Shop,Personal Accessories,Watches,Infinity,2014,Q2 2014,871166.8,3637,0.45297075
United States,Web,Warehouse Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q3 2013,312414.57,1053,0.28096667
France,Web,Golf Shop,Personal Accessories,Eyewear,Maximus,2014,Q2 2014,21547.25,243,0.50992586
Japan,E-mail,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2014,Q1 2014,125583.12,104,0.48738334
Japan,Web,Golf Shop,Personal Accessories,Eyewear,Trendi,2014,Q3 2014,18592.8,366,0.38405512
Netherlands,Web,Direct Marketing,Outdoor Protection,First Aid,Aloe Relief,2012,Q3 2012,1176.75,225,0.63288719
Belgium,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Extreme,2014,Q3 2014,3269.0,467,0.65428571
United States,Web,Eyewear Store,Personal Accessories,Navigation,Astro Pilot,2013,Q2 2013,123975.0,855,0.37663013
Sweden,Web,Outdoors Shop,Personal Accessories,Knives,Max Gizmo,2012,Q3 2012,993.2,26,0.53926702
China,Sales visit,Warehouse Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2012,Q4 2012,62327.23,521,0.5440107
Switzerland,Web,Direct Marketing,Camping Equipment,Packs,Canyon Mule Journey Backpack,2012,Q2 2012,31374.9,90,0.38805542
Switzerland,Web,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2013,Q4 2013,45043.79,89,0.4511865
Denmark,Web,Golf Shop,Personal Accessories,Navigation,Astro Pilot,2014,Q1 2014,3915.0,27,0.37737931
Spain,Mail,Department Store,Personal Accessories,Watches,Mountain Man Analog,2012,Q2 2012,4406.8,92,0.3736952
Germany,E-mail,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2012,Q3 2012,9675.72,372,0.31641676
Canada,Web,Sports Store,Personal Accessories,Eyewear,Bella,2013,Q2 2013,52230.0,735,0.43498736
United Kingdom,Web,Sports Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q2 2013,57229.6,1070,0.34617925
Spain,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Rechargeable Battery,2014,Q3 2014,25361.6,3312,0.58863794
Spain,Web,Sports Store,Outdoor Protection,First Aid,Aloe Relief,2012,Q4 2012,460.24,88,0.63288719
France,Web,Sports Store,Personal Accessories,Eyewear,Capri,2012,Q2 2012,30908.1,807,0.34015129
Austria,Web,Golf Shop,Personal Accessories,Eyewear,Capri,2012,Q3 2012,7736.6,202,0.33472585
Finland,Web,Sports Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q3 2012,164880.06,129,0.48311609
United States,Web,Eyewear Store,Personal Accessories,Watches,Mountain Man Digital,2013,Q3 2013,8068.41,196,0.51415459
China,Web,Golf Shop,Personal Accessories,Eyewear,Inferno,2012,Q3 2012,35295.0,543,0.38859555
Singapore,Web,Department Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2012,Q4 2012,97959.41,281,0.38805542
Finland,Web,Sports Store,Golf Equipment,Putters,Blue Steel Putter,2013,Q3 2013,69808.68,828,0.51132724
Singapore,Web,Outdoors Shop,Personal Accessories,Navigation,Glacier GPS Extreme,2013,Q3 2013,44752.22,131,0.48343188
Austria,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,53261.1,558,0.44944997
Canada,E-mail,Outdoors Shop,Personal Accessories,Eyewear,Trendi,2014,Q3 2014,17272.0,340,0.38405512
China,Telephone,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q2 2012,89469.8,70,0.48311609
Germany,Web,Warehouse Store,Camping Equipment,Tents,Star Gazer 3,2014,Q1 2014,113817.34,161,0.35779557
Australia,Web,Outdoors Shop,Personal Accessories,Eyewear,Dante,2012,Q2 2012,1622.45,37,0.35119726
Canada,Sales visit,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2013,Q2 2013,44974.0,2285,0.49751745
Austria,Web,Sports Store,Personal Accessories,Eyewear,Fairway,2013,Q4 2013,49873.75,2347,0.41307461
Netherlands,Web,Sports Store,Golf Equipment,Irons,Lady Hailstorm Titanium Irons,2013,Q3 2013,90368.99,107,0.50270552
China,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2013,Q4 2013,101171.83,821,0.35437799
United States,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Signal Mirror,2014,Q3 2014,29822.1,1291,0.38787879
Canada,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q3 2013,65587.68,1231,0.34365616
Italy,Web,Sports Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2013,Q2 2013,106734.1,121,0.48883347
Singapore,Sales visit,Warehouse Store,Personal Accessories,Knives,Bear Edge,2014,Q1 2014,26134.5,665,0.40127226
Poland,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Water Bag,2013,Q1 2013,65118.22,14423,0.48824354
Poland,Web,Equipment Rental Store,Camping Equipment,Lanterns,Flicker Lantern,2012,Q4 2012,1857.06,54,0.5457982
Germany,Mail,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,2012,Q2 2012,3265.7,34,0.53149401
Finland,Web,Sports Store,Personal Accessories,Knives,Double Edge,2012,Q3 2012,10039.08,622,0.29182156
Spain,Web,Sports Store,Personal Accessories,Watches,Mountain Man Digital,2013,Q1 2013,4445.02,109,0.50956351
China,Web,Department Store,Personal Accessories,Watches,Infinity,2013,Q2 2013,54737.2,234,0.45379669
Japan,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2013,Q1 2013,88046.0,1324,0.48165414
Belgium,Web,Sports Store,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2013,Q1 2013,87880.7,798,0.52282014
Canada,Web,Warehouse Store,Outdoor Protection,First Aid,Compact Relief Kit,2012,Q4 2012,4891.18,217,0.60070985
Italy,Fax,Outdoors Shop,Mountaineering Equipment,Tools,Granite Axe,2013,Q1 2013,49920.0,1300,0.49166667
Belgium,Web,Eyewear Store,Personal Accessories,Eyewear,Maximus,2014,Q3 2014,27132.0,323,0.50785714
Netherlands,Web,Department Store,Camping Equipment,Sleeping Bags,Hibernator Lite,2013,Q1 2013,47759.22,558,0.29898353
France,Sales visit,Department Store,Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,2012,Q3 2012,10290.9,992,0.73009163
United States,Sales visit,Eyewear Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q1 2013,7136.48,146,0.38625205
Australia,Web,Department Store,Personal Accessories,Eyewear,Retro,2013,Q1 2013,10775.8,172,0.4499601
Singapore,Web,Department Store,Personal Accessories,Navigation,Glacier GPS,2013,Q3 2013,69749.81,629,0.33772207
France,Fax,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 200,2012,Q3 2012,21078.72,39,0.31477575
Spain,Web,Outdoors Shop,Personal Accessories,Watches,Mountain Man Combination,2012,Q4 2012,3361.75,35,0.53149401
Germany,Web,Sports Store,Personal Accessories,Binoculars,Seeker 50,2012,Q2 2012,18782.94,149,0.26558782
Mexico,Web,Outdoors Shop,Personal Accessories,Eyewear,Zone,2014,Q1 2014,84743.0,2506,0.33196099
Germany,E-mail,Sports Store,Golf Equipment,Woods,Hailstorm Steel Woods Set,2013,Q2 2013,51573.6,78,0.48336358
Sweden,Web,Sports Store,Outdoor Protection,Insect Repellents,BugShield Spray,2012,Q4 2012,6331.75,1075,0.6893039
Netherlands,Web,Sports Store,Personal Accessories,Eyewear,Polar Sun,2013,Q1 2013,15534.52,259,0.56401292
United States,Sales visit,Eyewear Store,Personal Accessories,Eyewear,Polar Wave,2013,Q3 2013,7378.14,78,0.56528881
Sweden,Web,Sports Store,Personal Accessories,Binoculars,Seeker Mini,2013,Q2 2013,7152.64,88,0.50787402
Spain,Web,Department Store,Personal Accessories,Eyewear,Hawk Eye,2013,Q3 2013,27981.0,684,0.40290483
Denmark,Web,Equipment Rental Store,Mountaineering Equipment,Rope,Husky Rope 100,2013,Q3 2013,34908.98,106,0.30862661
Mexico,Web,Outdoors Shop,Personal Accessories,Eyewear,Polar Sun,2013,Q2 2013,10627.32,175,0.56938814
Belgium,Web,Outdoors Shop,Personal Accessories,Knives,Pocket Gizmo,2013,Q3 2013,6811.2,528,0.63036763
Poland,Web,Department Store,Personal Accessories,Binoculars,Ranger Vision,2014,Q2 2014,66470.9,395,0.53425228
Singapore,Web,Outdoors Shop,Camping Equipment,Tents,Star Dome,2013,Q2 2013,237446.4,384,0.35958599
Japan,Telephone,Direct Marketing,Camping Equipment,Sleeping Bags,Hibernator Self - Inflating Mat,2012,Q2 2012,40195.68,336,0.5440107
Netherlands,Web,Sports Store,Personal Accessories,Watches,Lux,2013,Q2 2013,32890.0,191,0.47552448
Germany,Web,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2014,Q2 2014,6440.0,920,0.65428571
Japan,Web,Sports Store,Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,2014,Q3 2014,87393.28,101,0.51345229
Belgium,Web,Direct Marketing,Outdoor Protection,First Aid,Calamine Relief,2014,Q1 2014,366.0,61,0.52833333
Spain,Web,Outdoors Shop,Personal Accessories,Binoculars,Ranger Vision,2014,Q2 2014,19595.2,116,0.53316935
Spain,Web,Golf Shop,Golf Equipment,Irons,Hailstorm Steel Irons,2014,Q3 2014,77955.1,178,0.49537618
Germany,Web,Sports Store,Personal Accessories,Watches,Mountain Man Analog,2013,Q2 2013,10197.06,211,0.37923284
Finland,Web,Outdoors Shop,Camping Equipment,Sleeping Bags,Hibernator Extreme,2013,Q4 2013,257421.36,1022,0.40447832
Poland,Web,Department Store,Personal Accessories,Binoculars,Ranger Vision,2014,Q1 2014,37947.8,225,0.53392819
France,Web,Golf Shop,Personal Accessories,Eyewear,Capri,2014,Q2 2014,17503.1,457,0.35822454
China,Web,Golf Shop,Personal Accessories,Knives,Max Gizmo,2012,Q4 2012,19443.8,509,0.53738312
Spain,Web,Outdoors Shop,Mountaineering Equipment,Rope,Husky Rope 100,2014,Q2 2014,274990.55,835,0.30862661
United States,Web,Department Store,Personal Accessories,Eyewear,Polar Wave,2012,Q4 2012,4004.7,43,0.55847879
Belgium,Web,Outdoors Shop,Camping Equipment,Packs,Canyon Mule Extreme Backpack,2013,Q4 2013,42874.02,98,0.45397609
Sweden,Web,Golf Shop,Personal Accessories,Watches,Venue,2012,Q2 2012,4453.0,61,0.4169863
France,Web,Outdoors Shop,Personal Accessories,Watches,Lux,2012,Q3 2012,76294.4,448,0.47200895
Germany,Web,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2014,Q1 2014,42880.61,205,0.61897697
United Kingdom,Telephone,Sports Store,Camping Equipment,Sleeping Bags,Hibernator,2012,Q2 2012,27189.94,197,0.3769019
Finland,Web,Outdoors Shop,Personal Accessories,Watches,Legend,2013,Q4 2013,33536.6,124,0.43235987
Austria,Telephone,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q4 2012,48883.74,923,0.33971276
France,Web,Golf Shop,Personal Accessories,Eyewear,Trendi,2013,Q3 2013,3772.5,75,0.39642147
Japan,Web,Outdoors Shop,Mountaineering Equipment,Safety,Granite Climbing Helmet,2013,Q4 2013,153605.5,2185,0.25263158
Belgium,Sales visit,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,2012,Q3 2012,3548.55,123,0.37608319
Italy,Sales visit,Golf Shop,Golf Equipment,Irons,Lady Hailstorm Steel Irons,2014,Q2 2014,56684.32,112,0.4511865
Belgium,Web,Sports Store,Personal Accessories,Eyewear,Cat Eye,2014,Q1 2014,60965.05,2004,0.33684611
Denmark,Fax,Warehouse Store,Outdoor Protection,Sunscreen,Sun Shelter Stick,2013,Q1 2013,1425.0,285,0.608
Switzerland,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Grip,2014,Q1 2014,22775.2,1162,0.49540816
Switzerland,Web,Eyewear Store,Personal Accessories,Eyewear,Polar Extreme,2013,Q3 2013,5042.2,34,0.5111261
Brazil,Web,Warehouse Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2014,Q2 2014,1190.0,170,0.73142857
Italy,Web,Outdoors Shop,Personal Accessories,Knives,Pocket Gizmo,2014,Q1 2014,35204.1,2729,0.61707188
United Kingdom,Web,Warehouse Store,Camping Equipment,Tents,Star Gazer 2,2012,Q4 2012,205848.72,376,0.28293788
Poland,Web,Department Store,Personal Accessories,Eyewear,Inferno,2014,Q3 2014,91874.0,1387,0.45228149
Japan,Web,Equipment Rental Store,Mountaineering Equipment,Rope,Husky Rope 200,2013,Q3 2013,45883.32,84,0.32198891
Brazil,Web,Outdoors Shop,Personal Accessories,Binoculars,Ranger Vision,2013,Q3 2013,16783.6,100,0.53492695
Austria,Web,Warehouse Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2014,Q2 2014,31142.88,216,0.4798169
United States,Web,Department Store,Camping Equipment,Lanterns,Firefly Multi-light,2014,Q3 2014,4219.86,159,0.33006782
Switzerland,Sales visit,Sports Store,Camping Equipment,Cooking Gear,TrailChef Double Flame,2013,Q3 2013,22059.54,153,0.4798169
Italy,Web,Sports Store,Personal Accessories,Watches,TX,2014,Q3 2014,8613.0,44,0.4508998
Italy,Web,Golf Shop,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2013,Q2 2013,189884.31,147,0.52776509
Italy,E-mail,Sports Store,Golf Equipment,Golf Accessories,Course Pro Gloves,2013,Q2 2013,10670.53,1027,0.7545717
Spain,Web,Outdoors Shop,Personal Accessories,Eyewear,Capri,2013,Q2 2013,19877.7,519,0.34303566
Netherlands,Web,Department Store,Personal Accessories,Eyewear,Zone,2012,Q3 2012,78941.5,2545,0.32824877
United States,Web,Sports Store,Personal Accessories,Eyewear,Polar Ice,2012,Q4 2012,24757.7,234,0.53034975
Poland,Web,Department Store,Personal Accessories,Eyewear,Zone,2013,Q3 2013,196920.05,5910,0.33110021
Poland,Web,Department Store,Camping Equipment,Tents,Star Dome,2013,Q1 2013,196635.3,318,0.35958599
Italy,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Belay,2014,Q2 2014,119434.0,1796,0.48165414
Brazil,Web,Outdoors Shop,Personal Accessories,Binoculars,Seeker Extreme,2014,Q2 2014,50673.68,292,0.45764665
Sweden,Web,Outdoors Shop,Outdoor Protection,First Aid,Compact Relief Kit,2014,Q1 2014,966.0,42,0.60869565
Switzerland,Sales visit,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2013,Q2 2013,28333.74,543,0.32981985
Canada,E-mail,Outdoors Shop,Mountaineering Equipment,Tools,Granite Shovel,2014,Q2 2014,33921.83,577,0.3856098
United States,Web,Department Store,Personal Accessories,Eyewear,Polar Sun,2014,Q1 2014,31738.52,527,0.57326618
Poland,Web,Sports Store,Personal Accessories,Eyewear,Dante,2012,Q3 2012,61004.85,1413,0.35110143
United States,Fax,Sports Store,Personal Accessories,Eyewear,Polar Ice,2013,Q3 2013,3520.0,32,0.54827273
Austria,Telephone,Outdoors Shop,Outdoor Protection,Sunscreen,Sun Blocker,2012,Q3 2012,2871.4,586,0.60204082
China,Web,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Firefly Charger,2013,Q4 2013,102451.09,1964,0.57135605
Denmark,Web,Department Store,Personal Accessories,Watches,Venue,2013,Q3 2013,7373.0,101,0.42164384
United Kingdom,Web,Sports Store,Personal Accessories,Watches,Mountain Man Combination,2014,Q1 2014,2646.27,27,0.54086318
Finland,Web,Department Store,Outdoor Protection,Insect Repellents,BugShield Lotion Lite,2013,Q3 2013,1358.0,194,0.73142857
Japan,Sales visit,Golf Shop,Golf Equipment,Golf Accessories,Course Pro Golf Bag,2014,Q1 2014,16656.14,79,0.62198324
Singapore,Web,Golf Shop,Personal Accessories,Eyewear,Dante,2013,Q1 2013,15995.56,358,0.39382866
Spain,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Single Flame,2013,Q4 2013,40278.05,635,0.26880025
Netherlands,Web,Eyewear Store,Personal Accessories,Navigation,Astro Pilot,2014,Q1 2014,38462.0,230,0.37021944
Sweden,Web,Sports Store,Personal Accessories,Knives,Bear Survival Edge,2012,Q4 2012,5611.52,64,0.48677007
Netherlands,Web,Sports Store,Camping Equipment,Packs,Canyon Mule Journey Backpack,2013,Q4 2013,102877.44,292,0.39449932
Netherlands,Web,Sports Store,Personal Accessories,Knives,Double Edge,2012,Q3 2012,7959.28,488,0.29920294
Denmark,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Cook Set,2012,Q4 2012,24159.34,463,0.32981985
Japan,Sales visit,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2014,Q3 2014,50079.25,811,0.29117409
Mexico,Sales visit,Warehouse Store,Camping Equipment,Lanterns,EverGlow Kerosene,2012,Q4 2012,6957.0,225,0.35316947
Singapore,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,2012,Q3 2012,6375.85,221,0.37608319
Switzerland,Web,Department Store,Personal Accessories,Eyewear,Fairway,2012,Q4 2012,15434.9,766,0.39713506
Sweden,Web,Sports Store,Personal Accessories,Eyewear,Capri,2013,Q3 2013,23516.2,614,0.34274415
Spain,Web,Sports Store,Outdoor Protection,Sunscreen,Sun Shield,2012,Q4 2012,7775.52,1336,0.5257732
Sweden,Web,Department Store,Golf Equipment,Irons,Hailstorm Titanium Irons,2014,Q2 2014,75860.6,86,0.49110078
Canada,Web,Golf Shop,Golf Equipment,Woods,Hailstorm Titanium Woods Set,2012,Q4 2012,155326.6,130,0.42250716
Germany,Telephone,Outdoors Shop,Personal Accessories,Watches,Infinity,2013,Q4 2013,10791.2,47,0.47334495
Germany,E-mail,Sports Store,Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,2012,Q4 2012,80522.82,63,0.48311609
Brazil,Web,Department Store,Camping Equipment,Lanterns,EverGlow Butane,2014,Q2 2014,7375.44,114,0.37199408
Netherlands,Web,Outdoors Shop,Personal Accessories,Watches,Kodiak,2012,Q2 2012,38946.0,316,0.44831099
Japan,Web,Direct Marketing,Outdoor Protection,First Aid,Deluxe Family Relief Kit,2014,Q1 2014,6930.0,198,0.59885714
United States,Web,Sports Store,Personal Accessories,Binoculars,Seeker 50,2012,Q4 2012,19539.3,155,0.26558782
Mexico,Sales visit,Sports Store,Golf Equipment,Golf Accessories,Course Pro Umbrella,2012,Q4 2012,8203.8,660,0.51729686
United States,Web,Golf Shop,Personal Accessories,Eyewear,Retro,2013,Q3 2013,150172.05,2397,0.45224967
Italy,Web,Sports Store,Personal Accessories,Eyewear,Maximus,2013,Q3 2013,47648.95,571,0.50591377
United Kingdom,Web,Direct Marketing,Camping Equipment,Packs,Canyon Mule Weekender Backpack,2013,Q3 2013,65998.8,243,0.38637703
France,Web,Sports Store,Personal Accessories,Eyewear,Inferno,2014,Q2 2014,280323.2,4079,0.45186884
United States,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly 4,2014,Q1 2014,12751.7,442,0.37608319
Belgium,Web,Outdoors Shop,Camping Equipment,Lanterns,Firefly Extreme,2014,Q1 2014,13101.88,242,0.44052457
Netherlands,Mail,Eyewear Store,Personal Accessories,Eyewear,Polar Ice,2014,Q1 2014,6556.0,70,0.46944783
Belgium,Sales visit,Outdoors Shop,Outdoor Protection,Insect Repellents,BugShield Extreme,2012,Q2 2012,11249.28,1674,0.63988095
Belgium,Web,Outdoors Shop,Mountaineering Equipment,Safety,Husky Harness,2012,Q4 2012,10753.6,176,0.28363339
Austria,Web,Sports Store,Personal Accessories,Watches,Mountain Man Digital,2014,Q2 2014,9827.98,241,0.50956351
Belgium,Web,Warehouse Store,Camping Equipment,Tents,Star Dome,2013,Q4 2013,51323.05,83,0.35958599
Netherlands,Sales visit,Sports Store,Camping Equipment,Tents,Star Dome,2013,Q1 2013,87805.7,142,0.35958599
Australia,Sales visit,Outdoors Shop,Mountaineering Equipment,Climbing Accessories,Granite Carabiner,2012,Q4 2012,17839.28,4617,0.49273065
United Kingdom,Web,Outdoors Shop,Mountaineering Equipment,Tools,Granite Ice,2012,Q3 2012,99564.8,1324,0.48178191
Poland,Web,Department Store,Camping Equipment,Cooking Gear,TrailChef Utensils,2013,Q3 2013,41817.56,2245,0.46314419
Netherlands,Web,Direct Marketing,Camping Equipment,Cooking Gear,TrailChef Deluxe Cook Set,2014,Q3 2014,73321.85,595,0.35437799
Spain,Web,Outdoors Shop,Camping Equipment,Cooking Gear,TrailChef Water Bag,2013,Q2 2013,16864.44,2694,0.53194888
Switzerland,Web,Eyewear Store,Personal Accessories,Watches,Infinity,2012,Q2 2012,26472.0,118,0.46465926
Japan,Web,Outdoors Shop,Camping Equipment,Tents,Star Lite,2013,Q3 2013,559003.09,1571,0.29740997
